index,zip,number,score
0,98118,751,24.0186418109
1,98119,242,11.3595041322
2,98116,621,12.616747182
3,98117,340,11.6088235294
4,98115,725,13.9737931034
5,98112,427,13.3044496487
6,98198,127,12.1653543307
7,98199,176,13.9261363636
8,98134,354,20.0762711864
9,98118-4104,8,26.625
10,98144,762,16.0144356955
11,98104,2557,25.8091513492
12,98166,72,6.70833333333
13,98121,728,10.4478021978
14,98109,1187,11.3631002527
15,98108,566,13.3692579505
16,98105,1677,21.0119260584
17,98122,1690,16.150887574
18,98107,1044,14.4808429119
19,98106,275,8.55636363636
20,98101,1682,11.094530321
21,98126,266,13.5263157895
22,98103,1164,17.0738831615
23,98102,404,11.6534653465
24,98125,683,14.0790629575
25,98148,73,8.6301369863
26,98146,128,9.6875
27,98124,39,0.923076923077
28,98188,217,8.6267281106
29,98178,111,8.46846846847
30,98136,129,13.0387596899
31,98133,386,8.37046632124
32,98158,51,4.11764705882
33,98168,327,9.5993883792
34,98177,11,7.72727272727
